m,n
19,10
17,11
20,12
26,13
40,14
27,15
35,16
35,17
40,18
42,19
26,20
43,21
49,22
53,23
51,24
50,25
80,26
59,27
64,28
57,29
79,30
67,31
60,32
88,33
96,34
97,35
87,36
97,37
81,38
98,39
97,40
128,41
120,42
120,43
96,44
113,45
97,46
119,47
119,48
105,49
96,50
129,51
123,52
132,53
154,54
149,55
179,56
127,57
150,58
131,59
143,60
145,61
189,62
139,63
163,64
191,65
212,66
210,67
184,68
206,69
242,70
234,71
223,72
257,73
215,74
242,75
226,76
199,77
174,78
258,79
253,80
197,81
242,82
227,83
258,84
257,85
257,86
258,87
257,88
258,89
260,90
260,91
228,92
266,93
274,94
263,95
261,96
276,97
274,98
258,99
238,100
